"tipo","modelo","cv_f1","threshold","timestamp"
"01_Logit","logit_baseline_top8",0.624626,0.305,"2026-05-31 17:54:59"
"01_Logit","logit_scaled_top8",0.624626,0.305,"2026-05-31 17:55:46"
"02_RandomForest","RF_default_mtry_2_top8",0.658633,0.33,"2026-05-31 17:57:45"
"02_RandomForest","RF_grid_extratrees_mtry_2_node_10_top8",0.661713,0.34,"2026-05-31 19:35:56"
"02_RandomForest","RF_hellinger_bagging_top8",0.632234,0.365,"2026-05-31 19:44:14"
"03_XGBoost","XGB_grid_depth_6_eta_0.05_top8",0.66575,0.35,"2026-05-31 20:29:26"
"03_XGBoost","XGB_nativo_early_stop_top8",0.664918,0.34,"2026-05-31 20:30:01"
"04_Sinteticos","logit_sintetico_top8",0.65282,0.365,"2026-05-31 21:07:50"
"04_Sinteticos","rf_sintetico_top8",0.637732,0.31,"2026-05-31 21:08:24"
"04_Sinteticos","xgb_sintetico_top8",0.647311,0.345,"2026-05-31 21:08:35"
"08_Naive_Bayes","NB_default",0.541738,0.9,"2026-05-31 20:34:30"
"08_Naive_Bayes","NB_kernel",0.034436,0.1,"2026-05-31 20:35:51"
"08_Naive_Bayes","NB_laplace_0_kernel_FALSE_adjust_0.5",0.541738,0.9,"2026-05-31 20:56:49"
